group,model_family,correct,bin_low,bin_high,count,group_total,share
AR: correct answers,AR,True,0.0,0.1,0,1616,0.0
AR: correct answers,AR,True,0.1,0.2,0,1616,0.0
AR: correct answers,AR,True,0.2,0.3,0,1616,0.0
AR: correct answers,AR,True,0.3,0.4,1,1616,0.0006188118811881188
AR: correct answers,AR,True,0.4,0.5,3,1616,0.0018564356435643563
AR: correct answers,AR,True,0.5,0.6,1,1616,0.0006188118811881188
AR: correct answers,AR,True,0.6,0.7,10,1616,0.006188118811881188
AR: correct answers,AR,True,0.7,0.8,43,1616,0.026608910891089108
AR: correct answers,AR,True,0.8,0.9,160,1616,0.09900990099009901
AR: correct answers,AR,True,0.9,1.0,1398,1616,0.8650990099009901
AR: wrong answers,AR,False,0.0,0.1,1,634,0.0015772870662460567
AR: wrong answers,AR,False,0.1,0.2,4,634,0.006309148264984227
AR: wrong answers,AR,False,0.2,0.3,4,634,0.006309148264984227
AR: wrong answers,AR,False,0.3,0.4,24,634,0.03785488958990536
AR: wrong answers,AR,False,0.4,0.5,11,634,0.017350157728706624
AR: wrong answers,AR,False,0.5,0.6,1,634,0.0015772870662460567
AR: wrong answers,AR,False,0.6,0.7,20,634,0.031545741324921134
AR: wrong answers,AR,False,0.7,0.8,27,634,0.04258675078864353
AR: wrong answers,AR,False,0.8,0.9,25,634,0.03943217665615142
AR: wrong answers,AR,False,0.9,1.0,517,634,0.8154574132492114
DLM: correct answers,DLM,True,0.0,0.1,1,542,0.0018450184501845018
DLM: correct answers,DLM,True,0.1,0.2,0,542,0.0
DLM: correct answers,DLM,True,0.2,0.3,0,542,0.0
DLM: correct answers,DLM,True,0.3,0.4,0,542,0.0
DLM: correct answers,DLM,True,0.4,0.5,0,542,0.0
DLM: correct answers,DLM,True,0.5,0.6,0,542,0.0
DLM: correct answers,DLM,True,0.6,0.7,0,542,0.0
DLM: correct answers,DLM,True,0.7,0.8,3,542,0.005535055350553505
DLM: correct answers,DLM,True,0.8,0.9,13,542,0.023985239852398525
DLM: correct answers,DLM,True,0.9,1.0,525,542,0.9686346863468634
DLM: wrong answers,DLM,False,0.0,0.1,1,195,0.005128205128205128
DLM: wrong answers,DLM,False,0.1,0.2,0,195,0.0
DLM: wrong answers,DLM,False,0.2,0.3,0,195,0.0
DLM: wrong answers,DLM,False,0.3,0.4,8,195,0.041025641025641026
DLM: wrong answers,DLM,False,0.4,0.5,18,195,0.09230769230769231
DLM: wrong answers,DLM,False,0.5,0.6,1,195,0.005128205128205128
DLM: wrong answers,DLM,False,0.6,0.7,21,195,0.1076923076923077
DLM: wrong answers,DLM,False,0.7,0.8,27,195,0.13846153846153847
DLM: wrong answers,DLM,False,0.8,0.9,30,195,0.15384615384615385
DLM: wrong answers,DLM,False,0.9,1.0,89,195,0.4564102564102564
